threads_per_block,blocks_per_grid,bandwidth_gbps
32,1,bw=991.18
32,2,bw=1098.70
32,4,bw=1057.64
32,8,bw=1254.33
32,16,bw=1067.36
32,32,bw=1081.19
64,1,bw=1205.64
64,2,bw=1023.45
64,4,bw=969.42
64,8,bw=907.08
64,16,bw=1758.94
64,32,bw=1179.85
128,1,bw=1102.70
128,2,bw=1139.13
128,4,bw=926.15
128,8,bw=1233.49
128,16,bw=1013.33
128,32,bw=1112.77
256,1,bw=901.10
256,2,bw=1058.57
256,4,bw=1001.85
256,8,bw=1070.04
256,16,bw=1004.02
256,32,bw=1056.78
512,1,bw=1104.17
512,2,bw=1120.27
512,4,bw=933.76
512,8,bw=1076.09
512,16,bw=1107.26
512,32,bw=995.87
